feature,importance
D_134_sum,0.0
D_108_last,0.0
D_134_max,0.0
S_5_sum,0.0
B_31_min,0.0
D_135_mean,0.0
D_110_sum,0.0
D_110_min,0.0
B_31_max,0.0
D_110_max,0.0
D_110_last,0.0
D_135_max,0.0
D_111_sum,0.0
D_111_min,0.0
D_111_max,0.0
B_31_last,0.0
D_138_min,0.0
D_138_sum,0.0
D_53_sum,0.0
B_39_mean,0.0
D_137_max,0.0
D_136_sum,0.0
D_137_sum,0.0
B_39_sum,0.0
D_136_last,0.0
B_31_sum,0.0
B_31_mean,0.0
D_108_sum,0.0
B_38_2.0_mean,0.0
D_136_max,0.0
B_38_nan_mean,0.0
B_38_nan_sum,0.0
D_106_sum,0.0
B_38_7.0_sum,0.0
B_38_6.0_mean,0.0
B_38_6.0_sum,0.0
D_73_sum,0.0
D_73_min,0.0
B_38_4.0_mean,0.0
B_38_4.0_sum,0.0
D_131_sum,0.0
D_49_mean,0.0
B_30_nan_mean,0.0
D_76_sum,0.0
B_30_nan_sum,0.0
D_132_sum,0.0
D_73_max,0.0
B_30_1.0_mean,0.0
B_30_1.0_sum,0.0
D_88_mean,0.0
S_6_sum,0.0
R_26_sum,0.0
B_11_sum,0.0
D_88_sum,0.0
D_88_min,0.0
D_108_mean,0.0
D_88_last,0.0
D_68_nan_mean,0.0
